UTM_N,UTM_E,siteID.x,individualID,taxonID.x,collectDate, plotID.x,domainID.x,utmZone
460819.1542,3643115.262,TALL,1004,NA,NA,NA,NA,16N
460806.5291,3643110.802,TALL,1006,NA,NA,NA,NA,16N
460810.3293,3643119.866,TALL,1007,NA,NA,NA,NA,16N
460798.6115,3643118.824,TALL,1008,NA,NA,NA,NA,16N
460802.4597,3643121.984,TALL,2242,NA,NA,NA,NA,16N
460810.5948,3643127.3,TALL,2192,NA,NA,NA,NA,16N
460810.9971,3643135.755,TALL,1009,NA,NA,NA,NA,16N
460819.3143,3643147.749,TALL,1010,NA,NA,NA,NA,16N
460805.3697,3643149.623,TALL,1011,NA,NA,NA,NA,16N
460814.0329,3643151.309,TALL,2173,NA,NA,NA,NA,16N
460770.0763,3643130.788,TALL,2171,NA,NA,NA,NA,16N
460758.3865,3643133.781,TALL,1013,NA,NA,NA,NA,16N
460756.5105,3643138.922,TALL,2172,NA,NA,NA,NA,16N
460764.1544,3643143.175,TALL,2231,NA,NA,NA,NA,16N
460769.5152,3643143.78,TALL,1016,NA,NA,NA,NA,16N
460740.5084,3643159.363,TALL,1014,NA,NA,NA,NA,16N
460740.0278,3643167.347,TALL,2149,NA,NA,NA,NA,16N
460782.3271,3643192.194,TALL,1020,NA,NA,NA,NA,16N
460772.0339,3643196.359,TALL,2169,NA,NA,NA,NA,16N
460765.1841,3643184.369,TALL,2150,NA,NA,NA,NA,16N
460750.5609,3643181.64,TALL,2147,NA,NA,NA,NA,16N
460754.4406,3643190.949,TALL,1018,NA,NA,NA,NA,16N
460752.3943,3643196.25,TALL,1019,NA,NA,NA,NA,16N
460765.497,3643219.962,TALL,2166,NA,NA,NA,NA,16N
460766.1898,3643207.015,TALL,1025,NA,NA,NA,NA,16N
460745.2599,3643212.783,TALL,1026,NA,NA,NA,NA,16N
460752.7793,3643209.611,TALL,2178,NA,NA,NA,NA,16N
460737.6619,3643220.025,TALL,2200,NA,NA,NA,NA,16N
460743.494,3643224.243,TALL,1027,NA,NA,NA,NA,16N
460750.368,3643239.594,TALL,1023,NA,NA,NA,NA,16N
460745.3877,3643239.993,TALL,2167,NA,NA,NA,NA,16N
460738.4691,3643240.221,TALL,2165,NA,NA,NA,NA,16N
460731.016,3643236.356,TALL,1022,NA,NA,NA,NA,16N
460748.3985,3643254.301,TALL,1024,NA,NA,NA,NA,16N
460751.2515,3643248.238,TALL,2168,NA,NA,NA,NA,16N
460713.0341,3643208.26,TALL,1021,NA,NA,NA,NA,16N
460710.9734,3643198.417,TALL,2248,NA,NA,NA,NA,16N
463928.6535,3642490.42,TALL,2184,NA,NA,NA,NA,16N
463944.6368,3642493.71,TALL,1040,NA,NA,NA,NA,16N
463942.1322,3642487.232,TALL,2199,NA,NA,NA,NA,16N
463844.8332,3642504.612,TALL,1038,NA,NA,NA,NA,16N
463854.2776,3642510.741,TALL,2197,NA,NA,NA,NA,16N
463865.1437,3642505.51,TALL,1037,NA,NA,NA,NA,16N
463858.6013,3642495.01,TALL,2183,NA,NA,NA,NA,16N
463866.2638,3642487.927,TALL,1036,NA,NA,NA,NA,16N
463859.9191,3642484.921,TALL,2185,NA,NA,NA,NA,16N
463851.0292,3642480.928,TALL,2186,NA,NA,NA,NA,16N
